# Created by Octave 3.2.4, Sun Oct 28 00:59:49 2012 IST <mohit@mohit-N4050>
# name: z1
# type: matrix
# rows: 51
# columns: 2
 0 1.798465042647409e-08
 1 3.853853662815903e-07
 2 4.046546345956646e-06
 3 2.774774637227354e-05
 4 0.0001397297228032385
 5 0.0005509343356241949
 6 0.001770860364506359
 7 0.004770480981935443
 8 0.01098914369052973
 9 0.02197828738105946
 10 0.03861899068386172
 11 0.06018544002679656
 12 0.08382972003732515
 13 0.1050174514753309
 14 0.1189483378955283
 15 0.1223468618353986
 16 0.1147001829706884
 17 0.09831444254630185
 18 0.07724706200066751
 19 0.05575727783506828
 20 0.03703876313329472
 21 0.02267679375507833
 22 0.01281091595254429
 23 0.006683956149153672
 24 0.003222621714770479
 25 0.001436368535726256
 26 0.0005919101108762149
 27 0.0002254895660480808
 28 7.938153090468057e-05
 29 2.580877359462514e-05
 30 7.74263207838757e-06
 31 2.140819929508106e-06
 32 5.447622142051917e-07
 33 1.273470111128991e-07
 34 2.728864523847898e-08
 35 5.34634682223257e-09
 36 9.547047896843883e-10
 37 1.54816992921793e-10
 38 2.269873204492483e-11
 39 2.993239390539485e-12
 40 3.527746424564355e-13
 41 3.687539816617829e-14
 42 3.386516158118439e-15
 43 2.700212219097783e-16
 44 1.841053785748487e-17
 45 1.052030734713411e-18
 46 4.90076429214334e-20
 47 1.787512811723942e-21
 48 4.787980745689211e-23
 49 8.375476523071573e-25
 50 7.178979876918459e-27
